id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
833541,Copa (VIP) Dream,4005407,Erika,Leme,-22.96566,-43.17159,Entire home/apt,1500,5,5,2020-02-26,0.05,29,354,0
54355698,Apartamento na ilha da Gigoia,147267435,Ana,Barra da Tijuca,-23.00383,-43.30932,Entire home/apt,240,2,0,,,1,334,0
29297091,Cobertura no Inicio Barra perto praia metro 650M2,87322922,Peres,Barra da Tijuca,-23.0104,-43.31698,Entire home/apt,1800,7,39,2021-02-21,0.78,2,30,0
2386461,Carnaval in Copacabana!,12028215,Julia,Copacabana,-22.9657,-43.18637,Entire home/apt,1320,4,7,2019-01-01,0.07,1,357,0
16555096,Zen Apartment at Leblon/Ipanema,8859928,Jaqueline,Leblon,-22.98446,-43.2182,Entire home/apt,1571,3,11,2022-03-03,0.17,1,310,1
25196897,"Suíte aconchegante em Copacabana

Cozy bedroom",15439640,Lucia,Copacabana,-22.97074,-43.1833,Private room,280,2,65,2022-11-21,1.19,1,155,8
790471814450523016,quarto privado,471348055,Sandra,Botafogo,-22.953775309082484,-43.18576377451267,Private room,637,1,0,,,3,351,0
783142629665262301,Apartamento no melhor do Recreio,62773641,Jose Henrique,Recreio dos Bandeirantes,-23.02775624892611,-43.46867557615042,Entire home/apt,735,3,0,,,1,362,0
771615091108072528,TABAS| Apê em Ipanema com linda vista |IP0055,341887136,Tabas,Ipanema,-22.98568,-43.21411,Entire home/apt,4826,5,0,,,228,345,0
20254906,"APT ESPIGÃO ,MENSAL OU ESTADIAS PROLONGADA 7°andar",100693784,Aida,Jacarepaguá,-22.97199,-43.41417,Entire home/apt,413,3,11,2022-09-12,0.17,4,362,3
707443334888533148,A minutos de Copacabana com piscina,4005407,Erika,Botafogo,-22.9521209,-43.183286,Entire home/apt,786,2,3,2022-11-30,0.82,29,365,3
11441403,Rent for the Olympic games,60132889,Aloysio,Recreio dos Bandeirantes,-23.01204,-43.45612,Entire home/apt,600,10,0,,,1,365,0
5220277,Apt Praia da Barra. Next to Windsor,27009538,Marcus,Barra da Tijuca,-23.01269,-43.32044,Entire home/apt,1229,3,33,2022-01-25,0.38,1,90,2
